area_fips,own_code,industry_code,agglvl_code,size_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg,Geographic Area Name (NAME),2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP),area_title
C1110,5.0,31-33,44.0,0.0,,222.0,13912.0,968748736.0,147970078.0,1311607.0,1339.0,69635.0,,0.94,1.39,1.62,1.28,0.94,1.16,1.16,,-11.0,-4.7,212.0,1.5,37069826.0,4.0,4569577.0,3.2,100328.0,8.3,31.0,2.4,1628.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1118,5.0,31-33,44.0,0.0,,92.0,4880.0,341623081.0,165065071.0,1441413.0,1346.0,69999.0,,0.96,1.26,1.33,1.81,1.64,1.05,1.05,,0.0,0.0,187.0,4.0,28037283.0,8.9,11384235.0,7.4,258307.0,21.8,61.0,4.7,3179.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1126,5.0,31-33,44.0,0.0,,258.0,2287.0,115616958.0,85970440.0,1746389.0,972.0,50560.0,,0.7,0.16,0.11,0.17,0.19,0.7,0.7,,18.0,7.5,142.0,6.6,8585375.0,8.0,8995537.0,11.7,590535.0,51.1,12.0,1.2,656.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1146,5.0,31-33,44.0,0.0,,454.0,12925.0,924783126.0,151508828.0,4785200.0,1376.0,71552.0,,1.43,0.73,0.68,1.06,1.35,0.93,0.93,,-3.0,-0.7,601.0,4.9,45015798.0,5.1,9703795.0,6.8,-58818.0,-1.2,3.0,0.2,165.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1150,5.0,31-33,44.0,0.0,,138.0,6543.0,383917490.0,63972552.0,1058590.0,1128.0,58675.0,,1.57,1.76,2.02,1.85,2.06,1.15,1.15,,5.0,3.8,189.0,3.0,35442931.0,10.2,5269945.0,9.0,401123.0,61.0,73.0,6.9,3835.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1154,5.0,31-33,44.0,0.0,,406.0,23954.0,1561916280.0,389526519.0,4001567.0,1254.0,65205.0,,1.86,2.34,2.49,2.27,1.74,1.06,1.06,,-5.0,-1.2,27.0,0.1,87787748.0,6.0,14686994.0,3.9,-765907.0,-16.1,69.0,5.8,3596.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1164,5.0,31-33,44.0,0.0,,103.0,4178.0,125335956.0,27978062.0,917080.0,577.0,30003.0,,1.34,1.35,1.44,1.35,1.6,1.07,1.07,,7.0,7.3,55.0,1.3,8993470.0,7.7,-4278316.0,-13.3,-188044.0,-17.0,34.0,6.3,1787.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1170,5.0,31-33,44.0,0.0,,570.0,21769.0,1252645750.0,588828404.0,2960338.0,1107.0,57542.0,,1.02,1.33,1.39,1.33,1.18,1.04,1.04,,4.0,0.7,870.0,4.2,93751644.0,8.1,46764608.0,8.6,591561.0,25.0,41.0,3.8,2089.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1202,5.0,31-33,44.0,0.0,,199.0,6150.0,367665457.0,73621830.0,958741.0,1150.0,59785.0,,1.08,0.82,0.85,0.95,1.29,1.04,1.04,,9.0,4.7,138.0,2.3,23594381.0,6.9,3528530.0,5.0,89019.0,10.2,49.0,4.5,2550.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1206,5.0,31-33,44.0,0.0,,5530.0,164647.0,11456991128.0,1989568586.0,24120259.0,1338.0,69585.0,,0.9,0.73,0.64,0.63,0.64,0.88,0.88,,304.0,5.8,3601.0,2.2,748605069.0,7.0,105045670.0,5.6,-39016.0,-0.2,59.0,4.6,3092.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1210,5.0,31-33,44.0,0.0,,124.0,2755.0,156228055.0,94737298.0,2018285.0,1091.0,56714.0,,0.54,0.27,0.25,0.31,0.36,0.92,0.92,,6.0,5.1,408.0,17.4,25409963.0,19.4,16004035.0,20.3,373492.0,22.7,19.0,1.8,985.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1222,5.0,31-33,44.0,0.0,,151.0,6520.0,359671961.0,67896140.0,1182130.0,1061.0,55168.0,,1.24,1.28,1.36,1.37,1.56,1.06,1.06,,6.0,4.1,497.0,8.3,42971327.0,13.6,2623516.0,4.0,459171.0,63.5,50.0,4.9,2587.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1226,5.0,31-33,44.0,0.0,,406.0,23091.0,1520338435.0,323488685.0,4080777.0,1266.0,65842.0,,0.96,1.2,1.29,1.27,1.48,1.08,1.08,,18.0,4.6,908.0,4.1,112286904.0,8.0,26713598.0,9.0,376952.0,10.2,45.0,3.7,2367.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1242,5.0,31-33,44.0,0.0,,2092.0,64327.0,7851040350.0,737466444.0,15649919.0,2347.0,122050.0,,0.87,0.68,0.94,0.61,0.67,1.38,1.38,,151.0,7.8,2374.0,3.8,803708612.0,11.4,61438184.0,9.1,2069182.0,15.2,159.0,7.3,8298.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1254,5.0,31-33,44.0,0.0,,459.0,12161.0,835360622.0,101226817.0,4523411.0,1321.0,68691.0,,0.6,0.43,0.49,0.34,0.35,1.13,1.13,,17.0,3.8,-193.0,-1.6,7485370.0,0.9,1344476.0,1.3,-238993.0,-5.0,32.0,2.5,1680.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1258,5.0,31-33,44.0,0.0,,1792.0,60218.0,5342712666.0,646057436.0,26016518.0,1706.0,88723.0,,0.74,0.55,0.62,0.59,0.62,1.12,1.12,,-70.0,-3.8,2791.0,4.9,430431967.0,8.8,53396336.0,9.0,14388025.0,123.7,61.0,3.7,3184.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1262,5.0,31-33,44.0,0.0,,153.0,2672.0,145423225.0,39641372.0,933221.0,1047.0,54435.0,,0.94,0.46,0.44,0.57,0.67,0.96,0.97,,-5.0,-3.2,-19.0,-0.7,485828.0,0.3,-474433.0,-1.2,75553.0,8.8,11.0,1.1,575.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1270,5.0,31-33,44.0,0.0,,171.0,2325.0,166934661.0,40578144.0,1365530.0,1381.0,71795.0,,0.52,0.3,0.33,0.26,0.25,1.1,1.1,,-2.0,-1.2,184.0,8.6,13661810.0,8.9,4368140.0,12.1,84825.0,6.6,4.0,0.3,192.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1294,5.0,31-33,44.0,0.0,N,875.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.98,0.0,0.0,0.0,0.0,0.0,0.0,N,22.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1298,5.0,31-33,44.0,0.0,,163.0,10159.0,672203872.0,120626143.0,3306635.0,1273.0,66172.0,,1.94,2.32,2.3,2.5,2.62,0.99,0.99,,5.0,3.2,132.0,1.3,10481603.0,1.6,8406706.0,7.5,214477.0,6.9,4.0,0.3,176.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1302,5.0,31-33,44.0,0.0,,128.0,4454.0,361512497.0,51440575.0,2132314.0,1561.0,81163.0,,1.8,1.57,2.19,1.63,2.36,1.39,1.39,,-1.0,-0.8,-2.0,0.0,4065692.0,1.1,2488690.0,5.1,94139.0,4.6,18.0,1.2,949.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1314,5.0,31-33,44.0,0.0,,360.0,18857.0,2034491228.0,205441515.0,5181327.0,2075.0,107893.0,,1.26,1.5,2.45,1.36,1.4,1.64,1.64,N,-2.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1322,5.0,31-33,44.0,0.0,,76.0,981.0,53664466.0,13915594.0,319125.0,1052.0,54681.0,,0.7,0.29,0.31,0.31,0.29,1.06,1.06,,2.0,2.7,-76.0,-7.2,-2541530.0,-4.5,-1525261.0,-9.9,-68524.0,-17.7,29.0,2.8,1493.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1338,5.0,31-33,44.0,0.0,,345.0,8892.0,603312614.0,412821370.0,3645993.0,1305.0,67850.0,,1.28,1.19,1.26,1.41,1.03,1.07,1.07,,-1.0,-0.3,-520.0,-5.5,-32477061.0,-5.1,-9589741.0,-2.3,720948.0,24.6,6.0,0.5,295.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1346,5.0,31-33,44.0,0.0,,382.0,5700.0,313394591.0,220448132.0,5441049.0,1057.0,54979.0,,1.09,0.78,0.67,0.8,0.88,0.86,0.86,,9.0,2.4,388.0,7.3,34142695.0,12.2,22328197.0,11.3,1868402.0,52.3,46.0,4.5,2407.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1374,5.0,31-33,44.0,0.0,N,219.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.89,0.0,0.0,0.0,0.0,0.0,0.0,N,-2.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1378,5.0,31-33,44.0,0.0,,200.0,10522.0,920931798.0,144275602.0,4717175.0,1683.0,87521.0,,1.17,1.35,1.89,1.66,1.52,1.4,1.4,,-4.0,-2.0,110.0,1.1,65758521.0,7.7,6426771.0,4.7,2102380.0,80.4,104.0,6.6,5391.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1382,5.0,31-33,44.0,0.0,,1240.0,37240.0,2504464266.0,389264673.0,6173037.0,1293.0,67253.0,,1.16,0.89,0.87,0.84,0.89,0.98,0.98,,33.0,2.7,461.0,1.3,169339791.0,7.3,5872888.0,1.5,1828861.0,42.1,72.0,5.9,3762.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1390,5.0,31-33,44.0,0.0,N,116.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.67,0.0,0.0,0.0,0.0,0.0,0.0,N,-4.0,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1398,5.0,31-33,44.0,0.0,N,170.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.14,0.0,0.0,0.0,0.0,0.0,0.0,N,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1401,5.0,31-33,44.0,0.0,,130.0,3255.0,183536549.0,51140964.0,1108429.0,1084.0,56392.0,,1.06,0.45,0.37,0.47,0.57,0.81,0.81,,1.0,0.8,-713.0,-18.0,-47921160.0,-20.7,-7494543.0,-12.8,-207196.0,-15.7,-38.0,-3.4,-1940.0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1402,5.0,31-33,44.0,0.0,,141.0,10922.0,711534978.0,132871788.0,1600007.0,1253.0,65149.0,,1.2,1.85,2.03,2.17,1.85,1.09,1.09,,2.0,1.4,1418.0,14.9,170605644.0,31.5,28569394.0,27.4,180632.0,12.7,158.0,14.4,8230.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1410,5.0,31-33,44.0,0.0,,93.0,4834.0,264840464.0,58359070.0,2890800.0,1054.0,54782.0,,1.35,1.43,1.2,1.98,2.82,0.84,0.84,,-1.0,-1.1,69.0,1.4,8228789.0,3.2,205664.0,0.4,-173059.0,-5.6,18.0,1.7,933.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1426,5.0,31-33,44.0,0.0,,990.0,28498.0,2416587936.0,1168675549.0,6426803.0,1631.0,84799.0,,1.05,0.95,1.28,1.1,1.02,1.35,1.35,,63.0,6.8,518.0,1.9,82617054.0,3.5,62275011.0,5.6,-1146351.0,-15.1,27.0,1.7,1384.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1446,5.0,31-33,44.0,0.0,,4571.0,166118.0,18140265149.0,2881801816.0,88389029.0,2100.0,109201.0,,0.76,0.75,0.76,0.66,0.72,1.01,1.01,,5.0,0.1,1765.0,1.1,874996459.0,5.1,-41681438.0,-1.4,-2716770.0,-3.0,80.0,4.0,4151.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1450,5.0,31-33,44.0,0.0,,653.0,21075.0,2035540375.0,350459031.0,6375778.0,1857.0,96587.0,,1.1,1.32,1.34,1.27,1.33,1.01,1.01,,9.0,1.4,961.0,4.8,253965825.0,14.3,32026310.0,10.1,1901781.0,42.5,154.0,9.0,8014.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1454,5.0,31-33,44.0,0.0,,179.0,13249.0,804266795.0,180880548.0,3264111.0,1167.0,60703.0,,1.07,2.13,2.44,2.13,2.25,1.14,1.15,,8.0,4.7,987.0,8.0,70161428.0,9.6,15178355.0,9.2,-474199.0,-12.7,16.0,1.4,833.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1474,5.0,31-33,44.0,0.0,,198.0,2579.0,161037446.0,123147864.0,1816724.0,1201.0,62436.0,,0.77,0.34,0.3,0.57,0.83,0.89,0.89,,3.0,1.5,-40.0,-1.5,5915288.0,3.8,6264768.0,5.4,177483.0,10.8,62.0,5.4,3203.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1486,5.0,31-33,44.0,0.0,,891.0,29716.0,3158692099.0,506472348.0,15441957.0,2044.0,106297.0,,0.67,0.88,0.82,0.83,0.84,0.93,0.93,,9.0,1.0,662.0,2.3,149999749.0,5.0,8719004.0,1.8,281838.0,1.9,53.0,2.7,2743.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1518,5.0,31-33,44.0,0.0,,221.0,6309.0,342856903.0,68668724.0,2119075.0,1045.0,54344.0,,0.96,0.51,0.62,0.53,0.97,1.22,1.22,,2.0,0.9,473.0,8.1,26173823.0,8.3,5328950.0,8.4,-9962.0,-0.5,1.0,0.1,81.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1526,5.0,31-33,44.0,0.0,N,91.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.82,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1538,5.0,31-33,44.0,0.0,,1284.0,49862.0,3614261680.0,694617789.0,24998170.0,1394.0,72486.0,,1.3,1.16,1.28,1.26,1.26,1.1,1.1,,-4.0,-0.3,1095.0,2.2,230806873.0,6.8,33153240.0,5.0,10321458.0,70.3,60.0,4.5,3106.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1550,5.0,31-33,44.0,0.0,,208.0,8774.0,503894959.0,239168953.0,1162965.0,1104.0,57432.0,,1.59,1.63,1.7,1.66,1.57,1.04,1.04,,-1.0,-0.5,290.0,3.4,49808690.0,11.0,18899048.0,8.6,191669.0,19.7,75.0,7.3,3906.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1554,5.0,31-33,44.0,0.0,N,328.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.02,0.0,0.0,0.0,0.0,0.0,0.0,N,8.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1568,5.0,31-33,44.0,0.0,,36.0,398.0,23346389.0,4112849.0,124276.0,1129.0,58696.0,,0.5,0.1,0.07,0.13,0.11,0.68,0.68,,-10.0,-21.7,-200.0,-33.4,-23105209.0,-49.7,-1588238.0,-27.9,67948.0,120.6,-365.0,-24.4,-18993.0,-24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1594,5.0,31-33,44.0,0.0,,574.0,25013.0,1551041588.0,274587926.0,8259939.0,1192.0,62008.0,,1.81,1.85,2.12,1.83,2.23,1.15,1.15,,2.0,0.3,-125.0,-0.5,85626392.0,5.8,5050530.0,1.9,1835738.0,28.6,71.0,6.3,3714.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1598,5.0,31-33,44.0,0.0,,634.0,7036.0,415345816.0,68234072.0,525270.0,1135.0,59030.0,,0.73,0.3,0.3,0.29,0.31,0.99,0.99,,47.0,8.0,715.0,11.3,58862606.0,16.5,9432471.0,16.0,255222.0,94.5,51.0,4.7,2637.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1602,5.0,31-33,44.0,0.0,,105.0,4050.0,240924591.0,50569169.0,336348.0,1144.0,59486.0,,0.99,1.11,1.27,1.17,0.91,1.15,1.15,,-5.0,-4.5,-20.0,-0.5,7877509.0,3.4,-914370.0,-1.8,-14816.0,-4.2,43.0,3.9,2219.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1606,5.0,31-33,44.0,0.0,,86.0,4122.0,205023957.0,62719355.0,1506636.0,956.0,49736.0,,1.01,0.95,0.87,1.17,1.5,0.91,0.91,,0.0,0.0,237.0,6.1,12579967.0,6.5,3529617.0,6.0,207735.0,16.0,3.0,0.3,203.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1618,5.0,31-33,44.0,0.0,,120.0,2473.0,154204381.0,83623273.0,1538318.0,1199.0,62349.0,,1.73,0.96,0.93,1.35,1.43,0.96,0.96,,1.0,0.8,-39.0,-1.6,650545.0,0.4,2111552.0,2.6,6209.0,0.4,23.0,2.0,1219.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1622,5.0,31-33,44.0,0.0,,121.0,1618.0,102573742.0,47740412.0,1004645.0,1219.0,63412.0,,0.99,0.51,0.56,0.56,0.57,1.09,1.09,,7.0,6.1,11.0,0.7,3802767.0,3.9,2460886.0,5.4,542386.0,117.3,37.0,3.1,1965.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1630,5.0,31-33,44.0,0.0,,316.0,19224.0,1692692001.0,670519567.0,5602734.0,1693.0,88053.0,,1.09,1.64,2.18,1.88,1.26,1.32,1.32,,2.0,0.6,-109.0,-0.6,-60094102.0,-3.4,-2891709.0,-0.4,464887.0,9.0,-51.0,-2.9,-2609.0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
